group,bin,n,mean_pred_prob,actual_positive_rate,calibration_gap
female,"(0.0397, 0.0913]",170,0.07511214850393524,0.041176470588235294,0.03393567791569995
female,"(0.0913, 0.148]",145,0.1171961422524815,0.034482758620689655,0.08271338363179184
female,"(0.148, 0.443]",131,0.2529984558100394,0.12213740458015267,0.13086105122988673
female,"(0.443, 0.787]",180,0.6294147353436961,0.4388888888888889,0.1905258464548072
female,"(0.787, 0.919]",98,0.877880535064384,0.8775510204081632,0.00032951465622077514
male,"(0.0397, 0.0913]",130,0.06284259923066138,0.015384615384615385,0.04745798384604599
male,"(0.0913, 0.148]",155,0.11502706673809068,0.10967741935483871,0.005349647383251971
male,"(0.148, 0.443]",169,0.2908171290542059,0.1893491124260355,0.10146801662817043
male,"(0.443, 0.787]",121,0.6865910341774891,0.5454545454545454,0.1411364887229437
male,"(0.787, 0.919]",201,0.8553949899270972,0.7960199004975125,0.05937508942958469
