group,n,actual_positive_rate,predicted_positive_rate,TPR,FPR,mean_pred_prob
female,724,0.26657458563535913,0.3660220994475138,0.8549222797927462,0.18832391713747645,0.36219923809608967
male,776,0.35695876288659795,0.3956185567010309,0.8050541516245487,0.1683366733466934,0.425462288872904
