group,n,actual_positive_rate,predicted_positive_rate,TPR,FPR,mean_pred_prob
majority,1338,0.3094170403587444,0.3796711509715994,0.8309178743961353,0.1774891774891775,0.3941334521291315
minority,162,0.345679012345679,0.3950617283950617,0.7857142857142857,0.18867924528301888,0.4014841086306453
