Comparison,AUC_1,AUC_2,Diff,CI_low,CI_high,Significant,p_approx
Case A (LightGBM): ① Static vs ③c Aggregate,0.7686209730449152,0.7919380239165623,0.02331705087164715,0.020419660573258554,0.026322216993672345,True,0.0
Case A (Transformer): ③ Static vs ④b Aggregate,0.7664458557681535,0.7913533206946921,0.024907464926538614,0.02163339888596401,0.02821497188035736,True,0.0
Case B: B1 Demographic vs B2 Full,0.8875273703780211,0.8893637678165668,0.0018363974385456894,-0.0021093168241632793,0.00558370528680378,False,0.366
Case C: C1 Static vs C2 BonusMalus,0.6787542976972568,0.7076927387009044,0.02893844100364762,0.025108582380686757,0.033321808746295103,True,0.0
