feature,gain
Exposure,427875.39704322815
VehAge,301852.85356521606
BonusMalus,288191.249625206
Region,163022.9979171753
DrivAge,145544.91897201538
VehBrand,127002.04341316223
VehPower,114013.64598751068
Density,83173.31867599487
VehGas,66494.17969703674
Area,13291.0093126297
