feature,gain
VehPower,724274.7721452713
ClaimRateSoFar,215731.94947242737
VehType,125180.25566101074
Usage,84030.01891708374
Expo,60311.66057682037
YearGap,42865.91928577423
CumClaimCount,39285.43148326874
PrevLabel,7311.357829093933
YearsSinceFirstClaimLog,1162.2137031555176
HasPriorClaim,0.0
